glacier_id,lat,lon
G160522E77777S,-77.777,160.522
G160525E77917S,-77.917,160.525
G160526E77348S,-77.348,160.526
G160530E76700S,-76.7,160.53
G160535E77308S,-77.308,160.535
G160538E76732S,-76.732,160.538
G160540E77621S,-77.621,160.54
G160541E76645S,-76.645,160.541
G160542E77592S,-77.592,160.542
G160543E77785S,-77.785,160.543
G160565E77352S,-77.352,160.565
G160566E77599S,-77.599,160.566
G160567E77304S,-77.304,160.567
G160569E77923S,-77.923,160.569
G160584E76729S,-76.729,160.584
G160593E76637S,-76.637,160.593
G160593E77288S,-77.288,160.593
G160598E76712S,-76.712,160.598
G160605E77328S,-77.328,160.605
G160607E76755S,-76.755,160.607
G160608E77611S,-77.611,160.608
G160610E76723S,-76.723,160.61
G160611E77302S,-77.302,160.611
G160611E77504S,-77.504,160.611
G160612E77912S,-77.912,160.612
G160615E76646S,-76.646,160.615
G160618E77334S,-77.334,160.618
G160632E77343S,-77.343,160.632
G160635E76731S,-76.731,160.635
G160641E76621S,-76.621,160.641
G160649E77630S,-77.63,160.649
G160650E76651S,-76.651,160.65
G160662E77916S,-77.916,160.662
G160666E76739S,-76.739,160.666
G160669E76639S,-76.639,160.669
G160669E77325S,-77.325,160.669
G160673E76614S,-76.614,160.673
G160679E76778S,-76.778,160.679
G160679E77622S,-77.622,160.679
G160681E77604S,-77.604,160.681
G160701E76786S,-76.786,160.701
G160705E76857S,-76.857,160.705
G160706E76861S,-76.861,160.706
G160709E76868S,-76.868,160.709
G160716E76838S,-76.838,160.716
G160717E76873S,-76.873,160.717
G160720E77612S,-77.612,160.72
G160721E76865S,-76.865,160.721
G160722E76879S,-76.879,160.722
G160724E76941S,-76.941,160.724
G160725E77502S,-77.502,160.725
G160726E76885S,-76.885,160.726
G160726E76907S,-76.907,160.726
G160733E76693S,-76.693,160.733
G160743E77869S,-77.869,160.743
G160745E76707S,-76.707,160.745
G160748E76696S,-76.696,160.748
G160750E76671S,-76.671,160.75
G160751E76806S,-76.806,160.751
G160761E77465S,-77.465,160.761
G160764E76700S,-76.7,160.764
G160766E77277S,-77.277,160.766
G160776E76699S,-76.699,160.776
G160777E76952S,-76.952,160.777
G160780E76819S,-76.819,160.78
G160780E77627S,-77.627,160.78
G160784E76703S,-76.703,160.784
G160804E76695S,-76.695,160.804
G160804E77843S,-77.843,160.804
G160809E76687S,-76.687,160.809
G160814E77408S,-77.408,160.814
G160815E76789S,-76.789,160.815
G160822E76972S,-76.972,160.822
G160824E76783S,-76.783,160.824
G160830E77627S,-77.627,160.83
G160835E76684S,-76.684,160.835
G160838E77405S,-77.405,160.838
G160840E76695S,-76.695,160.84
G160842E76951S,-76.951,160.842
G160847E76983S,-76.983,160.847
G160847E77630S,-77.63,160.847
G160853E77286S,-77.286,160.853
G160857E76692S,-76.692,160.857
G160859E76825S,-76.825,160.859
G160859E76868S,-76.868,160.859
G160860E76781S,-76.781,160.86
G160860E77408S,-77.408,160.86
G160861E76815S,-76.815,160.861
G160863E76785S,-76.785,160.863
G160869E76687S,-76.687,160.869
G160869E76850S,-76.85,160.869
G160881E76773S,-76.773,160.881
G160884E76870S,-76.87,160.884
G160886E76778S,-76.778,160.886
G160894E77503S,-77.503,160.894
G160896E77293S,-77.293,160.896
G160897E77267S,-77.267,160.897
G160898E76875S,-76.875,160.898
G160904E77644S,-77.644,160.904
G160907E77626S,-77.626,160.907
G160914E76692S,-76.692,160.914
G160914E77404S,-77.404,160.914
G160917E77308S,-77.308,160.917
G160922E76809S,-76.809,160.922
G160925E76990S,-76.99,160.925
G160926E76979S,-76.979,160.926
G160936E76773S,-76.773,160.936
G160939E76695S,-76.695,160.939
G160941E76996S,-76.996,160.941
G160942E76949S,-76.949,160.942
G160951E76989S,-76.989,160.951
